Customer ID;Gender;Age;City;Items Purchased;Discount Applied;Days Since Last Purchase;Average Rating;Satisfaction Level;Total Spend;Membership Type;Spender Group
414;Female;43;Chicago;10;TRUE;46;3.3;Unsatisfied;50575;Bronze;High Spender
415;Male;30;San Francisco;20;FALSE;14;4.8;Satisfied;14605;Gold;High Spender
416;Male;27;Miami;13;TRUE;61;4.1;Unsatisfied;7104;Silver;Medium Spender
417;Female;37;Houston;7;FALSE;30;3.4;Neutral;4508;Bronze;Low Spender
418;Female;31;New York;15;TRUE;34;4.5;Satisfied;11406;Gold;High Spender
419;Male;35;Los Angeles;12;FALSE;19;4.1;Neutral;8009;Silver;Medium Spender
420;Female;41;Chicago;9;TRUE;46;3.6;Unsatisfied;47525;Bronze;High Spender
421;Male;28;San Francisco;21;FALSE;12;4.9;Satisfied;14801;Gold;High Spender
422;Male;32;Miami;10;TRUE;40;3.8;Unsatisfied;6603;Silver;Low Spender
423;Female;36;Houston;8;FALSE;26;3.0;Neutral;4705;Bronze;Low Spender
424;Female;30;New York;16;TRUE;27;4.5;Satisfied;11908;Gold;High Spender
425;Male;34;Los Angeles;11;FALSE;18;4.2;Neutral;7802;Silver;Medium Spender
426;Female;43;Chicago;10;TRUE;47;3.3;Unsatisfied;51575;Bronze;High Spender
427;Male;30;San Francisco;19;FALSE;14;4.6;Satisfied;14505;Gold;High Spender
428;Male;27;Miami;13;TRUE;62;4.1;Unsatisfied;7104;Silver;Medium Spender
429;Female;37;Houston;7;FALSE;31;3.4;Neutral;4308;Bronze;Low Spender
430;Female;31;New York;15;TRUE;35;4.5;Satisfied;11606;Gold;High Spender
431;Male;35;Los Angeles;12;FALSE;20;4.3;Neutral;8209;Silver;Medium Spender
432;Female;41;Chicago;9;TRUE;47;3.6;Unsatisfied;49525;Bronze;High Spender
433;Male;28;San Francisco;21;FALSE;11;4.9;Satisfied;14901;Gold;High Spender
434;Male;32;Miami;10;TRUE;41;3.8;Unsatisfied;6603;Silver;Low Spender
435;Female;36;Houston;8;FALSE;28;3.1;Neutral;4405;Bronze;Low Spender
436;Female;30;New York;16;TRUE;28;4.7;Satisfied;12008;Gold;High Spender
437;Male;34;Los Angeles;11;FALSE;19;4.1;Neutral;7802;Silver;Medium Spender
438;Female;43;Chicago;10;TRUE;48;3.3;Unsatisfied;50575;Bronze;High Spender
439;Male;30;San Francisco;20;FALSE;15;4.8;Satisfied;14605;Gold;High Spender
440;Male;27;Miami;13;TRUE;63;4.1;Unsatisfied;7104;Silver;Medium Spender
441;Female;37;Houston;7;FALSE;32;3.4;Neutral;4508;Bronze;Low Spender
442;Female;31;New York;15;TRUE;36;4.5;Satisfied;11406;Gold;High Spender
443;Male;35;Los Angeles;12;FALSE;20;4.1;Neutral;8009;Silver;Medium Spender
444;Female;41;Chicago;9;TRUE;48;3.6;Unsatisfied;47525;Bronze;High Spender
445;Male;28;San Francisco;21;FALSE;13;4.9;Satisfied;14801;Gold;High Spender
446;Male;32;Miami;10;TRUE;42;3.8;Unsatisfied;6603;Silver;Low Spender
447;Female;36;Houston;8;FALSE;27;3.0;Neutral;4705;Bronze;Low Spender
448;Female;30;New York;16;TRUE;28;4.5;Satisfied;11908;Gold;High Spender
449;Male;34;Los Angeles;11;FALSE;21;4.2;Neutral;7802;Silver;Medium Spender
450;Female;43;Chicago;10;TRUE;49;3.3;Unsatisfied;51575;Bronze;High Spender
